Month ID,Month,Flow ID,Flow,Trade Value,Time
202101,2021-01,2,Ventas internacionales,8922953219,1.61E+12
202102,2021-02,2,Ventas internacionales,8584916283,1.61E+12
202103,2021-03,2,Ventas internacionales,9609289366,1.62E+12
202104,2021-04,2,Ventas internacionales,10226273731,1.62E+12
202105,2021-05,2,Ventas internacionales,9898210809,1.62E+12
202106,2021-06,2,Ventas internacionales,10495931678,1.63E+12
202107,2021-07,2,Ventas internacionales,9747765210,1.63E+12
202108,2021-08,2,Ventas internacionales,9197347740,1.63E+12
202109,2021-09,2,Ventas internacionales,10091092380,1.63E+12
202110,2021-10,2,Ventas internacionales,10504806440,1.64E+12
202111,2021-11,2,Ventas internacionales,11550339884,1.64E+12
202112,2021-12,2,Ventas internacionales,11247705421,1.64E+12